"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"T1","FET_SOT23","127.953mil","531.496mil","127.953mil","531.496mil","180.197mil","531.496mil","T","180.00","SI2306"
"R4","FP_0603_RES","127.953mil","895.669mil","127.953mil","895.669mil","163.386mil","895.669mil","T","180.00","10k"
"R3","FP_0603_RES","374.016mil","157.48mil","374.016mil","157.48mil","409.449mil","157.48mil","T","180.00","330R"
"R2","FP_0603_RES","147.638mil","157.48mil","147.638mil","157.48mil","112.205mil","157.48mil","T","0.00","10k"
"R1","FP_0603_RES","708.661mil","462.598mil","708.661mil","462.598mil","708.661mil","498.031mil","T","270.00","10k"
"L1","FP_0603_LED_B","374.016mil","88.583mil","374.016mil","88.583mil","338.583mil","88.583mil","T","0.00","BLUE"
"C2","FP_0603_CAP_080","118.11mil","679.134mil","118.11mil","679.134mil","82.677mil","679.134mil","T","0.00","100nF"
"C1","FP_0603_CAP_080","147.638mil","88.583mil","147.638mil","88.583mil","112.205mil","88.583mil","T","0.00","100nF"
"IC1","DIGITAL_SOIC8_WSON","236.22mil","314.961mil","236.22mil","314.961mil","105.472mil","389.961mil","T","360.00","ATtiny13"
"U1","SUPPLY_SOT23-5","117.579mil","787.402mil","118.11mil","787.402mil","65.866mil","824.803mil","T","0.00","LTC4054ES5-4.2"
"P1","HEADER_2.54MM_M_1x3","669.291mil","78.74mil","669.291mil","78.74mil","569.291mil","78.74mil","T","0.00","Header 1X3"
"D1","Buzzer_MBS12XXX","433.071mil","669.291mil","433.071mil","669.291mil","433.071mil","519.291mil","T","90.00","Buzzer"

